destination,passanger,weather,temperature,time,coupon,expiration,gender,age,maritalStatus,has_children,education,occupation,income,car,Bar,CoffeeHouse,CarryAway,RestaurantLessThan20,Restaurant20To50,toCoupon_GEQ5min,toCoupon_GEQ15min,toCoupon_GEQ25min,direction_same,direction_opp,Y
No Urgent Place,Kid(s),Sunny,80.0,2PM,Restaurant(20-50),1d,Female,21,Married partner,1.0,Some college - no degree,Student,$12500 - $24999,,1~3,1~3,4~8,4~8,never,1,0,0,0,1,1
No Urgent Place,Kid(s),Sunny,80.0,10AM,Restaurant(<20),2h,Female,41,Married partner,1.0,Bachelors degree,Business & Financial,$100000 or More,,1~3,less1,less1,1~3,1~3,1,1,0,0,1,0
Home,Alone,Sunny,80.0,10PM,Carry out & Take away,1d,Male,36,Married partner,1.0,Bachelors degree,Sales & Related,$62500 - $74999,,never,never,less1,1~3,1~3,1,0,0,0,1,1
Work,Alone,Sunny,30.0,7AM,Carry out & Take away,1d,Male,50plus,Married partner,1.0,Some college - no degree,Office & Administrative Support,$62500 - $74999,,1~3,never,1~3,1~3,less1,1,1,0,0,1,1
No Urgent Place,Friend(s),Sunny,30.0,10PM,Carry out & Take away,1d,Female,26,Unmarried partner,0.0,Graduate degree (Masters or Doctorate),Computer & Mathematical,$62500 - $74999,,1~3,less1,1~3,4~8,1~3,1,1,0,0,1,0
No Urgent Place,Alone,Sunny,80.0,10AM,Coffee House,1d,Male,36,Unmarried partner,1.0,Some college - no degree,Building & Grounds Cleaning & Maintenance,$25000 - $37499,,1~3,less1,1~3,1~3,less1,1,1,0,0,1,1
Home,Alone,Sunny,80.0,6PM,Coffee House,2h,Female,41,Married partner,1.0,Some college - no degree,Unemployed,$25000 - $37499,,never,never,4~8,1~3,less1,1,0,0,0,1,0
No Urgent Place,Friend(s),Sunny,80.0,6PM,Coffee House,1d,Female,50plus,Married partner,1.0,Bachelors degree,Education&Training&Library,$12500 - $24999,,less1,4~8,4~8,gt8,less1,1,0,0,0,1,1
No Urgent Place,Friend(s),Sunny,80.0,2PM,Coffee House,2h,,31,Unmarried partner,1.0,Associates degree,Education&Training&Library,$50000 - $62499,,never,never,4~8,,never,1,1,0,0,1,1
Work,Alone,Sunny,80.0,7AM,Restaurant(20-50),1d,Female,26,Married partner,1.0,Some college - no degree,Unemployed,$37500 - $49999,,1~3,4~8,1~3,4~8,less1,1,1,0,0,1,0
No Urgent Place,Friend(s),Sunny,80.0,2PM,Coffee House,1d,Female,50plus,Married partner,1.0,Bachelors degree,Life Physical Social Science,$50000 - $62499,,less1,never,4~8,less1,less1,1,1,0,0,1,0
No Urgent Place,Partner,Sunny,80.0,10AM,Coffee House,2h,Female,26,Unmarried partner,0.0,Some college - no degree,Food Preparation & Serving Related,$25000 - $37499,,less1,less1,1~3,less1,1~3,1,1,0,0,1,1
No Urgent Place,Alone,Sunny,80.0,10AM,Coffee House,2h,Male,31,Married partner,1.0,High School Graduate,Computer & Mathematical,$87500 - $99999,,never,1~3,less1,4~8,less1,1,1,0,0,1,0
Work,Alone,Sunny,80.0,7AM,Restaurant(20-50),1d,Male,41,Married partner,1.0,Some college - no degree,Arts Design Entertainment Sports & Media,$25000 - $37499,,never,1~3,gt8,4~8,less1,1,1,0,0,1,0
Work,Alone,Sunny,30.0,7AM,Bar,1d,Male,50plus,Unmarried partner,0.0,High School Graduate,Retired,$50000 - $62499,,less1,less1,4~8,1~3,less1,1,1,0,1,0,0
No Urgent Place,Friend(s),Sunny,80.0,10AM,Coffee House,2h,Female,21,Unmarried partner,0.0,Graduate degree (Masters or Doctorate),Student,$25000 - $37499,,less1,4~8,1~3,,less1,1,0,0,0,1,1
No Urgent Place,Friend(s),Sunny,30.0,10PM,Restaurant(<20),2h,Female,26,Single,0.0,Bachelors degree,Computer & Mathematical,$25000 - $37499,,less1,less1,4~8,1~3,never,1,0,0,0,1,1
No Urgent Place,Friend(s),Sunny,55.0,2PM,Coffee House,1d,Female,50plus,Married partner,0.0,Some college - no degree,Unemployed,$25000 - $37499,,never,never,1~3,4~8,never,1,0,0,0,1,0
No Urgent Place,Partner,Sunny,80.0,6PM,Restaurant(<20),1d,Male,36,Married partner,0.0,Graduate degree (Masters or Doctorate),Sales & Related,$100000 or More,,1~3,less1,1~3,4~8,1~3,1,0,0,0,1,1
No Urgent Place,Alone,Sunny,55.0,10AM,Coffee House,2h,Female,50plus,Single,0.0,Bachelors degree,Sales & Related,$25000 - $37499,,never,less1,1~3,1~3,1~3,1,0,0,0,1,1
No Urgent Place,Friend(s),Sunny,80.0,10AM,Carry out & Take away,2h,Female,41,Married partner,1.0,Some college - no degree,Unemployed,$25000 - $37499,,never,never,4~8,1~3,less1,1,1,0,0,1,1
Home,Alone,Sunny,80.0,6PM,Coffee House,1d,Female,41,Single,1.0,Associates degree,Sales & Related,$25000 - $37499,,less1,less1,4~8,4~8,1~3,1,0,0,1,0,1
No Urgent Place,Friend(s),Snowy,30.0,10PM,Carry out & Take away,1d,Male,31,Single,0.0,Some college - no degree,Unemployed,$12500 - $24999,,1~3,less1,4~8,less1,never,1,1,0,0,1,1
Home,Alone,Sunny,55.0,6PM,Bar,1d,Female,31,Married partner,0.0,Some college - no degree,Computer & Mathematical,$100000 or More,,less1,less1,1~3,gt8,less1,1,0,0,1,0,1
No Urgent Place,Partner,Sunny,80.0,10AM,Restaurant(20-50),1d,Female,31,Unmarried partner,0.0,Bachelors degree,Legal,$100000 or More,,never,less1,less1,1~3,1~3,1,0,0,0,1,1
Home,Alone,Snowy,30.0,10PM,Restaurant(20-50),2h,Female,26,Single,0.0,Bachelors degree,Computer & Mathematical,$25000 - $37499,,less1,less1,4~8,1~3,never,1,0,0,0,1,0
No Urgent Place,Partner,Sunny,80.0,6PM,Restaurant(<20),2h,Female,31,Married partner,0.0,Some college - no degree,Computer & Mathematical,$100000 or More,,less1,less1,1~3,gt8,less1,1,0,0,0,1,1
No Urgent Place,Alone,Rainy,55.0,2PM,Carry out & Take away,2h,Male,41,Divorced,1.0,High School Graduate,Sales & Related,$12500 - $24999,,never,less1,less1,1~3,4~8,1,0,0,0,1,1
No Urgent Place,Alone,,80.0,10PM,Restaurant(<20),1d,Female,26,Unmarried partner,0.0,High School Graduate,Healthcare Support,$25000 - $37499,,less1,less1,1~3,1~3,1~3,1,0,0,0,1,1
No Urgent Place,Alone,Sunny,80.0,10AM,Coffee House,1d,Male,21,Single,0.0,Bachelors degree,Unemployed,$50000 - $62499,,less1,1~3,1~3,less1,less1,1,1,0,0,1,0
No Urgent Place,Partner,Snowy,30.0,10AM,Restaurant(<20),1d,Male,50plus,Married partner,1.0,Some college - no degree,Business & Financial,$100000 or More,,less1,1~3,4~8,1~3,1~3,1,0,0,0,1,1
No Urgent Place,Alone,Sunny,80.0,10AM,Coffee House,1d,Female,26,Single,0.0,Bachelors degree,Office & Administrative Support,$87500 - $99999,do not drive,gt8,less1,1~3,1~3,1~3,1,1,0,0,1,0
Home,Alone,Sunny,30.0,6PM,Carry out & Take away,2h,Male,50plus,Married partner,0.0,Graduate degree (Masters or Doctorate),Retired,$50000 - $62499,,less1,less1,less1,1~3,1~3,1,1,0,1,0,1
Home,Alone,Sunny,80.0,6PM,Coffee House,2h,Male,26,Married partner,1.0,Some college - no degree,Computer & Mathematical,$50000 - $62499,,never,1~3,1~3,less1,1~3,1,1,1,0,1,1
Work,Alone,Sunny,80.0,7AM,Coffee House,1d,Female,26,Married partner,1.0,Bachelors degree,Computer & Mathematical,$100000 or More,,1~3,1~3,4~8,4~8,less1,1,0,0,1,0,1
No Urgent Place,Friend(s),Snowy,30.0,2PM,Restaurant(<20),1d,Male,46,Single,0.0,Some college - no degree,Sales & Related,Less than $12500,,1~3,1~3,4~8,4~8,4~8,1,0,0,0,1,1
No Urgent Place,Alone,Sunny,55.0,10AM,Coffee House,2h,Female,21,Single,0.0,Bachelors degree,Student,$100000 or More,,1~3,never,1~3,1~3,4~8,1,0,0,0,1,0
No Urgent Place,Alone,Sunny,80.0,10AM,Bar,1d,Male,31,Married partner,1.0,Graduate degree (Masters or Doctorate),Management,$87500 - $99999,,never,never,4~8,gt8,4~8,1,0,0,0,1,0
No Urgent Place,Alone,Sunny,55.0,6PM,Coffee House,2h,Male,31,Single,1.0,Associates degree,Installation Maintenance & Repair,$37500 - $49999,,1~3,4~8,1~3,1~3,less1,1,0,0,0,1,0
No Urgent Place,Alone,Sunny,55.0,2PM,Restaurant(<20),1d,Male,26,Married partner,1.0,Bachelors degree,Computer & Mathematical,$25000 - $37499,,less1,1~3,1~3,1~3,1~3,1,0,0,0,1,1
No Urgent Place,Friend(s),Sunny,30.0,10PM,Carry out & Take away,1d,Female,50plus,Single,1.0,Associates degree,Retired,Less than $12500,,never,never,less1,never,never,1,1,0,0,1,1
No Urgent Place,Friend(s),Sunny,80.0,2PM,Coffee House,2h,Male,46,Married partner,1.0,Graduate degree (Masters or Doctorate),Management,$87500 - $99999,,less1,1~3,1~3,less1,1~3,1,1,0,0,1,1
Home,Alone,Sunny,80.0,6PM,Restaurant(<20),2h,Female,36,Married partner,0.0,Bachelors degree,Computer & Mathematical,$50000 - $62499,,less1,never,4~8,4~8,never,1,0,0,1,0,0
Work,Alone,Sunny,80.0,7AM,Restaurant(<20),1d,Male,50plus,Married partner,1.0,Graduate degree (Masters or Doctorate),Healthcare Practitioners & Technical,$100000 or More,,1~3,1~3,gt8,4~8,less1,1,0,0,1,0,1
No Urgent Place,Alone,Rainy,999.0,10AM,Bar,1d,Male,,Single,1.0,Some High School,Unemployed,Less than $12500,,1~3,gt8,4~8,4~8,4~8,1,1,0,0,1,1
No Urgent Place,Friend(s),Sunny,80.0,10PM,Coffee House,1d,Male,26,Married partner,1.0,Bachelors degree,Sales & Related,$25000 - $37499,,less1,never,1~3,less1,less1,1,1,0,0,1,0
Home,Alone,Sunny,80.0,6PM,Carry out & Take away,1d,Male,21,Unmarried partner,0.0,Some college - no degree,Student,Less than $12500,,less1,1~3,4~8,4~8,1~3,1,0,0,0,1,1
Home,Alone,,55.0,6PM,Bar,1d,Male,31,Single,0.0,Bachelors degree,Office & Administrative Support,$25000 - $37499,,never,less1,less1,less1,less1,1,1,1,0,1,0
Home,Alone,Sunny,80.0,6PM,Coffee House,2h,Female,21,Married partner,0.0,Some college - no degree,Sales & Related,Less than $12500,,never,never,4~8,4~8,less1,1,1,1,0,1,0
Work,Alone,Sunny,55.0,7AM,Restaurant(<20),1d,Female,50plus,Married partner,,Bachelors degree,Retired,$50000 - $62499,,never,less1,4~8,1~3,less1,1,0,0,0,1,1
No Urgent Place,Friend(s),Sunny,80.0,6PM,Restaurant(<20),1d,Male,21,Single,0.0,Bachelors degree,Sales & Related,$100000 or More,,less1,4~8,1~3,4~8,1~3,1,1,0,0,1,1
No Urgent Place,Friend(s),Sunny,80.0,2PM,Restaurant(<20),2h,Male,below21,Single,0.0,Some college - no degree,Student,Less than $12500,,never,less1,gt8,1~3,never,1,1,0,0,1,1
Home,Alone,Sunny,55.0,6PM,Bar,1d,Male,26,Single,0.0,High School Graduate,Unemployed,$37500 - $49999,,gt8,gt8,gt8,gt8,gt8,1,0,0,1,0,1
Home,Partner,Sunny,30.0,10PM,Carry out & Take away,2h,Female,50plus,Married partner,1.0,Some college - no degree,Education&Training&Library,$50000 - $62499,,less1,never,4~8,1~3,less1,1,1,0,0,1,1
No Urgent Place,Friend(s),Sunny,80.0,2PM,Coffee House,1d,Female,26,Single,0.0,Bachelors degree,Unemployed,Less than $12500,,4~8,1~3,gt8,4~8,1~3,1,1,0,0,1,1
Home,Alone,Rainy,55.0,6PM,Bar,1d,Male,21,Unmarried partner,0.0,Some college - no degree,Student,$12500 - $24999,,never,less1,gt8,4~8,1~3,1,1,1,0,1,0
No Urgent Place,Alone,Sunny,80.0,10AM,Coffee House,2h,Female,21,Unmarried partner,1.0,Some college - no degree,Food Preparation & Serving Related,Less than $12500,,never,1~3,4~8,,4~8,1,1,0,0,1,1
No Urgent Place,Alone,Sunny,55.0,10AM,Coffee House,2h,Male,21,Single,0.0,Bachelors degree,Computer & Mathematical,$87500 - $99999,,1~3,1~3,1~3,4~8,1~3,1,0,0,0,1,0
Work,Alone,Rainy,999.0,7AM,Carry out & Take away,2h,Female,50plus,Divorced,,Some college - no degree,Unemployed,$37500 - $49999,,never,never,4~8,1~3,less1,1,1,0,1,0,0
No Urgent Place,Friend(s),Sunny,80.0,6PM,Coffee House,1d,Male,46,Single,0.0,Graduate degree (Masters or Doctorate),Computer & Mathematical,$37500 - $49999,,never,gt8,1~3,4~8,less1,1,0,0,0,1,1
Home,Alone,Sunny,55.0,10PM,Carry out & Take away,1d,,26,Single,0.0,Bachelors degree,Unemployed,$25000 - $37499,,never,less1,1~3,4~8,never,1,1,1,0,1,1
Work,Alone,Sunny,55.0,7AM,Bar,1d,Female,21,Single,0.0,Some college - no degree,Life Physical Social Science,Less than $12500,,less1,1~3,4~8,gt8,less1,1,1,1,0,1,1
Home,Alone,Sunny,55.0,6PM,Restaurant(20-50),1d,Female,26,Married partner,0.0,Associates degree,Management,$12500 - $24999,,never,less1,gt8,4~8,never,1,1,0,0,1,0
Home,Alone,Sunny,80.0,6PM,Restaurant(<20),1d,,26,Single,0.0,Graduate degree (Masters or Doctorate),Computer & Mathematical,$62500 - $74999,,1~3,gt8,4~8,4~8,1~3,1,0,0,1,0,0
Home,Alone,Sunny,80.0,6PM,Restaurant(<20),2h,Male,below21,Unmarried partner,0.0,Some college - no degree,Student,$12500 - $24999,,less1,gt8,4~8,1~3,less1,1,0,0,1,0,1
Home,Alone,Sunny,80.0,6PM,Coffee House,2h,Female,26,Married partner,1.0,Bachelors degree,Architecture & Engineering,$37500 - $49999,,never,1~3,1~3,1~3,less1,1,0,0,0,1,0
No Urgent Place,Friend(s),Sunny,80.0,10AM,Carry out & Take away,2h,Male,50plus,Unmarried partner,1.0,Associates degree,Retired,$50000 - $62499,,never,4~8,4~8,1~3,less1,1,1,0,0,1,1
Home,Alone,,80.0,6PM,Restaurant(<20),2h,Male,46,Married partner,1.0,Graduate degree (Masters or Doctorate),Retired,$50000 - $62499,,never,never,less1,4~8,1~3,1,0,0,1,0,1
Work,Alone,Sunny,80.0,7AM,Coffee House,1d,Male,36,Married partner,1.0,Bachelors degree,Computer & Mathematical,$100000 or More,,less1,never,1~3,less1,less1,1,0,0,1,0,0
Home,Alone,Sunny,80.0,10PM,Restaurant(<20),2h,Male,31,Married partner,1.0,Bachelors degree,Architecture & Engineering,$87500 - $99999,,less1,less1,4~8,less1,less1,1,0,0,1,0,0
No Urgent Place,Kid(s),Sunny,80.0,10AM,Carry out & Take away,1d,Male,26,Married partner,1.0,Some college - no degree,Computer & Mathematical,$50000 - $62499,,never,1~3,1~3,less1,1~3,1,1,0,0,1,0
No Urgent Place,Friend(s),Sunny,55.0,10PM,Bar,2h,Female,50plus,Married partner,1.0,Bachelors degree,Unemployed,$37500 - $49999,,never,less1,1~3,1~3,1~3,1,1,0,0,1,0
Work,Alone,Sunny,80.0,7AM,Carry out & Take away,1d,Female,26,Single,0.0,Bachelors degree,Education&Training&Library,$50000 - $62499,,1~3,never,4~8,1~3,less1,1,0,0,1,0,1
No Urgent Place,Partner,Rainy,55.0,10AM,Carry out & Take away,2h,Male,21,Unmarried partner,0.0,Bachelors degree,Business & Financial,$62500 - $74999,,4~8,1~3,4~8,1~3,less1,1,0,0,0,1,1
Work,Alone,Rainy,55.0,7AM,Restaurant(<20),2h,Male,46,Married partner,1.0,Graduate degree (Masters or Doctorate),Management,$87500 - $99999,,less1,1~3,1~3,less1,1~3,1,1,1,0,1,0
Home,Alone,Sunny,80.0,6PM,Restaurant(<20),2h,Female,,Unmarried partner,0.0,Some college - no degree,Student,$25000 - $37499,,never,1~3,1~3,4~8,1~3,1,0,0,1,0,1
No Urgent Place,Partner,Sunny,80.0,10AM,Coffee House,2h,Female,21,Unmarried partner,0.0,Bachelors degree,Management,$12500 - $24999,,1~3,gt8,gt8,1~3,less1,1,1,0,0,1,1
Work,Alone,Sunny,80.0,7AM,Restaurant(<20),1d,Male,31,Single,0.0,Some college - no degree,Office & Administrative Support,$12500 - $24999,,4~8,never,gt8,4~8,never,1,0,0,0,1,0
No Urgent Place,Alone,Rainy,55.0,10AM,Bar,1d,Female,31,Single,0.0,Graduate degree (Masters or Doctorate),Legal,$75000 - $87499,,gt8,4~8,4~8,4~8,4~8,1,1,0,0,1,0
Work,Alone,Rainy,55.0,7AM,Carry out & Take away,1d,Male,21,Single,0.0,Some college - no degree,Sales & Related,$37500 - $49999,,1~3,gt8,4~8,1~3,less1,1,0,0,0,1,1
Home,Alone,Sunny,80.0,10PM,Restaurant(<20),2h,Male,below21,Single,0.0,Some college - no degree,Student,$87500 - $99999,,never,4~8,,4~8,less1,1,0,0,1,0,0
No Urgent Place,Friend(s),Sunny,30.0,10PM,Carry out & Take away,1d,Male,21,Single,1.0,Some college - no degree,Student,$62500 - $74999,,never,never,4~8,1~3,1~3,1,1,0,0,1,1
Home,Alone,Sunny,80.0,10PM,Restaurant(<20),2h,Female,21,Single,0.0,High School Graduate,Unemployed,$100000 or More,,never,never,less1,never,never,1,0,0,1,0,0
Home,Alone,Snowy,30.0,10PM,Restaurant(20-50),2h,Male,26,Single,0.0,Some college - no degree,Transportation & Material Moving,$62500 - $74999,,4~8,less1,gt8,4~8,less1,1,0,0,0,1,0
Home,Alone,Sunny,55.0,10PM,Carry out & Take away,1d,Male,below21,Single,0.0,Some college - no degree,Student,$62500 - $74999,,never,1~3,4~8,1~3,less1,1,1,1,0,1,1
Home,Alone,Sunny,80.0,6PM,Restaurant(<20),2h,Male,36,Single,0.0,Some college - no degree,Computer & Mathematical,$37500 - $49999,,less1,1~3,4~8,1~3,less1,1,0,0,1,0,1
No Urgent Place,Friend(s),Sunny,80.0,2PM,Coffee House,1d,,50plus,Married partner,1.0,Some college - no degree,Transportation & Material Moving,$75000 - $87499,,never,never,4~8,gt8,less1,1,1,0,0,1,0
Work,Alone,Snowy,30.0,7AM,Coffee House,1d,Male,46,Married partner,1.0,Bachelors degree,Community & Social Services,$100000 or More,,less1,never,1~3,1~3,1~3,1,0,0,1,0,0
Work,Alone,Sunny,999.0,7AM,Coffee House,2h,,21,Single,0.0,Some college - no degree,Management,$25000 - $37499,,4~8,less1,gt8,1~3,1~3,1,1,0,0,1,0
No Urgent Place,Alone,Sunny,55.0,10AM,Coffee House,2h,Male,31,Single,0.0,Some college - no degree,Sales & Related,$37500 - $49999,,4~8,gt8,gt8,1~3,less1,1,0,0,0,1,1
Work,Alone,Snowy,30.0,7AM,Coffee House,1d,Male,21,Unmarried partner,0.0,High School Graduate,Food Preparation & Serving Related,$12500 - $24999,,1~3,never,gt8,4~8,1~3,1,0,0,1,0,0
Work,Alone,Sunny,55.0,7AM,Bar,1d,Male,31,Single,0.0,Bachelors degree,Unemployed,Less than $12500,,less1,1~3,gt8,1~3,never,1,1,1,0,1,0
Work,Alone,Rainy,55.0,7AM,Carry out & Take away,1d,Female,,Unmarried partner,0.0,Bachelors degree,Unemployed,$25000 - $37499,,never,never,1~3,1~3,less1,1,0,0,0,1,1
No Urgent Place,Alone,Sunny,55.0,10AM,Coffee House,2h,Male,50plus,Divorced,1.0,Bachelors degree,Computer & Mathematical,$25000 - $37499,,,,,,,1,0,0,0,1,0
Work,Alone,Rainy,55.0,7AM,Restaurant(<20),2h,Male,below21,Single,0.0,Some college - no degree,Student,Less than $12500,,never,gt8,gt8,gt8,less1,1,0,0,1,0,0
Home,Alone,,80.0,6PM,Coffee House,1d,Male,21,Single,0.0,High School Graduate,Student,$37500 - $49999,,less1,never,less1,less1,never,1,0,0,0,1,1
No Urgent Place,Alone,Rainy,55.0,10AM,Coffee House,1d,Female,26,Married partner,0.0,Some college - no degree,Office & Administrative Support,$75000 - $87499,,never,never,1~3,4~8,less1,1,1,0,0,1,0
No Urgent Place,Kid(s),Sunny,55.0,6PM,Coffee House,2h,Female,26,Married partner,1.0,Some college - no degree,Unemployed,$62500 - $74999,,never,less1,gt8,4~8,never,1,1,0,0,1,0
Work,Alone,Rainy,55.0,7AM,Bar,1d,Male,36,Married partner,1.0,Associates degree,Computer & Mathematical,$100000 or More,,never,less1,4~8,1~3,less1,1,1,1,0,1,0
No Urgent Place,Friend(s),Rainy,55.0,10PM,Bar,2h,,50plus,Married partner,1.0,Associates degree,Office & Administrative Support,$75000 - $87499,,1~3,4~8,,4~8,4~8,1,1,0,0,1,1
Home,Alone,Sunny,80.0,10PM,Bar,1d,Male,31,Single,0.0,High School Graduate,Unemployed,$12500 - $24999,,never,never,1~3,1~3,1~3,1,1,0,1,0,0
Home,Alone,Sunny,80.0,6PM,Restaurant(20-50),1d,Female,21,Unmarried partner,0.0,Some college - no degree,Student,Less than $12500,,1~3,1~3,4~8,1~3,less1,1,0,0,1,0,1
No Urgent Place,Friend(s),Sunny,30.0,10PM,Restaurant(<20),2h,Female,41,Unmarried partner,1.0,Some college - no degree,Unemployed,Less than $12500,,never,1~3,1~3,4~8,less1,1,0,0,0,1,1
Home,Alone,Sunny,80.0,10PM,Restaurant(<20),2h,Female,31,Unmarried partner,1.0,Bachelors degree,Sales & Related,$37500 - $49999,,1~3,less1,4~8,4~8,less1,1,0,0,1,0,1
No Urgent Place,Partner,Rainy,55.0,6PM,Bar,2h,Female,21,Unmarried partner,0.0,Some college - no degree,Office & Administrative Support,$25000 - $37499,,never,never,1~3,never,never,1,1,0,0,1,1
Work,Alone,Sunny,55.0,7AM,Bar,1d,Male,26,Married partner,0.0,Bachelors degree,Computer & Mathematical,$62500 - $74999,,never,less1,less1,gt8,1~3,1,1,1,0,1,0
No Urgent Place,Alone,Sunny,80.0,10AM,Bar,1d,Male,below21,Unmarried partner,0.0,Some college - no degree,Student,$12500 - $24999,,less1,gt8,4~8,1~3,less1,1,0,0,0,1,0
Work,Alone,Rainy,55.0,7AM,Bar,1d,,31,Unmarried partner,1.0,Bachelors degree,Computer & Mathematical,$62500 - $74999,,never,1~3,4~8,1~3,1~3,1,1,1,0,1,0
No Urgent Place,Kid(s),Sunny,55.0,2PM,Restaurant(<20),1d,,36,Married partner,1.0,Graduate degree (Masters or Doctorate),Healthcare Practitioners & Technical,$87500 - $99999,,less1,less1,1~3,4~8,less1,1,1,0,0,1,1
No Urgent Place,Friend(s),Sunny,55.0,2PM,Carry out & Take away,1d,Female,21,Single,0.0,Bachelors degree,Arts Design Entertainment Sports & Media,$100000 or More,,less1,less1,1~3,1~3,1~3,1,1,0,0,1,1
Work,Alone,Sunny,55.0,7AM,Coffee House,2h,Female,41,Married partner,1.0,Associates degree,Unemployed,$75000 - $87499,,never,less1,4~8,1~3,less1,1,1,0,0,1,1
Home,Alone,Sunny,80.0,10PM,Restaurant(<20),2h,Female,41,Married partner,1.0,Bachelors degree,Education&Training&Library,$25000 - $37499,,never,1~3,1~3,1~3,1~3,1,0,0,1,0,1
Home,Alone,Snowy,30.0,6PM,Coffee House,1d,Female,31,Married partner,0.0,Some college - no degree,Arts Design Entertainment Sports & Media,$100000 or More,,less1,less1,gt8,4~8,less1,1,1,0,0,1,0
Home,Alone,Sunny,30.0,6PM,Carry out & Take away,2h,Female,41,Unmarried partner,1.0,Some college - no degree,Unemployed,Less than $12500,,never,1~3,1~3,4~8,less1,1,1,0,1,0,1
No Urgent Place,Kid(s),Sunny,80.0,2PM,Restaurant(20-50),1d,Male,46,Married partner,1.0,Graduate degree (Masters or Doctorate),Management,$87500 - $99999,,less1,1~3,1~3,less1,1~3,1,0,0,0,1,1
No Urgent Place,Friend(s),Sunny,80.0,2PM,Coffee House,1d,Female,31,Unmarried partner,0.0,Some college - no degree,Office & Administrative Support,$75000 - $87499,,less1,1~3,gt8,4~8,1~3,1,1,0,0,1,0
No Urgent Place,Kid(s),Rainy,55.0,10PM,Bar,1d,Female,41,Married partner,1.0,Associates degree,Education&Training&Library,$62500 - $74999,,never,less1,less1,less1,less1,1,1,0,0,1,0
Home,Alone,Sunny,80.0,10PM,Restaurant(<20),2h,Female,26,Single,1.0,Some college - no degree,Office & Administrative Support,$37500 - $49999,,1~3,never,1~3,1~3,1~3,1,0,0,1,0,1
No Urgent Place,Partner,Sunny,80.0,10AM,Coffee House,2h,Female,46,Married partner,0.0,Some college - no degree,Arts Design Entertainment Sports & Media,$25000 - $37499,,less1,4~8,1~3,1~3,less1,1,0,0,0,1,1
No Urgent Place,Friend(s),Sunny,80.0,2PM,Restaurant(<20),1d,Male,26,Single,0.0,High School Graduate,Sales & Related,$12500 - $24999,,never,never,4~8,1~3,never,1,1,0,0,1,1
No Urgent Place,Friend(s),Snowy,30.0,10AM,Carry out & Take away,1d,Male,21,Unmarried partner,0.0,Some college - no degree,Sales & Related,$50000 - $62499,,less1,never,1~3,4~8,1~3,1,1,0,0,1,1
Work,Alone,Sunny,80.0,7AM,Carry out & Take away,2h,Female,36,Married partner,1.0,Bachelors degree,Education&Training&Library,$50000 - $62499,,,1~3,4~8,1~3,1~3,1,0,0,1,0,1
Home,Partner,Rainy,55.0,10PM,Bar,1d,Male,26,Unmarried partner,1.0,Some college - no degree,Transportation & Material Moving,$12500 - $24999,,1~3,4~8,1~3,4~8,less1,1,1,0,0,1,0
Work,Alone,Sunny,55.0,7AM,Restaurant(<20),1d,Male,21,Unmarried partner,0.0,Some college - no degree,Student,$12500 - $24999,,4~8,1~3,4~8,4~8,1~3,1,0,0,0,1,1
No Urgent Place,Friend(s),Sunny,80.0,2PM,Coffee House,1d,Male,26,Unmarried partner,0.0,Some college - no degree,Sales & Related,$50000 - $62499,,1~3,4~8,gt8,1~3,1~3,1,1,0,0,1,1
Work,Alone,Sunny,55.0,7AM,Coffee House,2h,Male,46,Married partner,1.0,Bachelors degree,Management,$100000 or More,,4~8,never,4~8,4~8,1~3,1,1,1,0,1,0
Home,Alone,Sunny,80.0,10PM,Restaurant(<20),2h,Female,26,Single,1.0,High School Graduate,Unemployed,Less than $12500,,less1,less1,4~8,1~3,never,1,0,0,1,0,1
Home,Kid(s),Sunny,80.0,6PM,Restaurant(20-50),2h,Female,26,Married partner,1.0,Some college - no degree,Unemployed,$25000 - $37499,,never,never,1~3,less1,never,1,1,0,1,0,1
No Urgent Place,Alone,Sunny,80.0,10AM,Coffee House,1d,Male,26,Single,0.0,Bachelors degree,Unemployed,$62500 - $74999,,4~8,never,4~8,1~3,less1,1,1,0,0,1,0
No Urgent Place,Friend(s),Sunny,80.0,10PM,Coffee House,1d,Female,36,Divorced,0.0,Associates degree,Computer & Mathematical,$12500 - $24999,,less1,4~8,1~3,less1,less1,1,1,0,0,1,1
Work,Alone,Rainy,55.0,7AM,Restaurant(<20),2h,Male,36,Married partner,1.0,Bachelors degree,Computer & Mathematical,$50000 - $62499,,1~3,never,1~3,4~8,never,1,1,1,0,1,1
Work,Alone,Sunny,80.0,7AM,Restaurant(<20),1d,Male,26,Single,0.0,Some college - no degree,Transportation & Material Moving,$62500 - $74999,,4~8,less1,gt8,4~8,less1,1,0,0,1,0,1
No Urgent Place,Kid(s),Sunny,80.0,10AM,Bar,1d,Female,36,Divorced,1.0,Graduate degree (Masters or Doctorate),Student,$12500 - $24999,,never,gt8,gt8,gt8,1~3,1,1,0,0,1,0
Home,Alone,Sunny,80.0,6PM,Coffee House,1d,Male,below21,Single,0.0,Some college - no degree,Student,Less than $12500,,never,less1,gt8,1~3,never,1,0,0,0,1,1
Work,Alone,Sunny,80.0,7AM,Coffee House,1d,Male,50plus,Unmarried partner,0.0,High School Graduate,Retired,$50000 - $62499,,less1,less1,4~8,1~3,less1,1,0,0,1,0,1
